review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
Very good service and great price range of tyres.Very helpful staff and everything went as planned.Will use them again.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Very good. Only negative was I had a date booked and they had to delay due to not having the tyre in Stock, so had to go on spare for a week and a half.",['change of date negative'],0,"(0, 2)",['change of date negative'],"['change of date negative', 'ease of booking negative']"
Great price and very good service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Fantastic service and prices....have used them before..... excellent service......no need to go anywhere else.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
The website is informative and easy to use. My chosen tyre fitters texted me to confirm the appointment and were ready when I arrived. The job was done quickly and efficiently. I have no complaints.,['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
What a fantastic service I would recommend this service to all it was so easy The garage that I went to was superb they were so helpful and nothing was too much trouble Having just moved to the area it was so refreshing to receive such a high level of customer care,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Great service, turned up when expected replaced tyre efficiently thanks",['length of fitting positive'],6,"(6,)",['length of fitting positive'],['length of fitting positive']
Good service came at the time stated to the address I asked and a decent price.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Used before, and again good service and good price.Cant see any reason not to use you in the future.......but hopefully not too soon😁😁",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Great price and fast, reliable fitting process.","['length of fitting positive', 'value for money positive', 'garage service positive']","6, 9, 5","(5, 6, 9)","['length of fitting positive', 'value for money positive', 'garage service positive']","['garage service positive', 'length of fitting positive', 'value for money positive']"
Efficient. Good customer service. Very pleased with the technical result.,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"ABSOLUTELY USELESS[REDACTED] have possibly the worst booking system I’ve ever come across. I selected a local garage on Saturday 23 March at 9am and received confirmation of this appointment. When I arrived at the garage, at the booked date and time, the garage told me my appointment was for 10am the day before. Cut a long story short, the garage told [REDACTED] they were unable to fit me in at 9am on Sat 23 March, but they could do 10am on Fri 22 March. That’s fine, however [REDACTED] neglected to inform me of this and I had to rearrange my entire weekend plans. The garage was able to fit me in on the Sunday morning, however myself, my daughter and my parents had to change our entire weekend plans to accommodate this. Also, my wife bought a tyre through the [REDACTED] website, using the correct reference details and [REDACTED] sent the wrong tyre to the garage. My wife has now had to wait a week for [REDACTED] to issue the correct tyre and the garage to have the availability to fit her in.I would not use or recommend [REDACTED] to anyone. The only reason I gave them one star was because the website would not allow me to complete this review without selecting at least one star.",['ease of booking negative'],2,"(0, 2)",['ease of booking negative'],"['change of date negative', 'ease of booking negative']"
